Date,forecast_load_mw,Temperature
2014-01-01,11092.62105263158,16.0
2014-01-02,12443.429166666669,10.0
2014-01-03,13260.695833333331,4.0
2014-01-04,12212.7625,25.0
2014-01-05,11518.079166666666,13.0
2014-01-06,13945.570833333331,-9.0
2014-01-07,14842.65,-4.5
2014-01-08,14067.4875,5.5
2014-01-09,13710.604166666666,11.5
2014-01-10,12581.075,33.5
2014-01-11,11308.0375,35.5
2014-01-12,10745.979166666666,36.0
2014-01-13,11510.983333333334,36.0
2014-01-14,12147.716666666667,28.5
2014-01-15,12697.358333333334,18.5
2014-01-16,12679.104166666666,26.5
2014-01-17,12923.483333333334,16.0
2014-01-18,12360.783333333333,14.0
2014-01-19,11454.170833333334,23.5
2014-01-20,11895.170833333334,24.0
2014-01-21,13215.929166666669,6.5
2014-01-22,13685.691666666668,7.5
2014-01-23,13987.979166666666,2.5
2014-01-24,14141.3375,11.0
2014-01-25,12775.420833333334,20.0
2014-01-26,12060.6875,18.5
2014-01-27,13641.270833333334,-0.5
2014-01-28,14932.545833333334,-4.0
2014-01-29,13902.179166666669,12.0
2014-01-30,13195.7875,26.5
2014-01-31,12870.004166666668,22.5
2014-02-01,11871.404166666667,25.5
2014-02-02,11595.104166666666,10.0
2014-02-03,12927.504166666668,7.5
2014-02-04,13233.970833333333,15.5
2014-02-05,12817.866666666669,17.0
2014-02-06,13418.729166666666,6.0
2014-02-07,13811.991666666669,3.5
2014-02-08,12673.5875,10.5
2014-02-09,11702.683333333332,11.5
2014-02-10,13036.683333333332,4.5
2014-02-11,13749.1,3.0
2014-02-12,13533.466666666667,9.5
2014-02-13,12943.220833333333,21.0
2014-02-14,12632.670833333334,17.0
2014-02-15,11960.720833333333,13.5
2014-02-16,11214.904166666667,23.0
2014-02-17,12177.695833333331,25.5
2014-02-18,12070.416666666666,31.0
2014-02-19,11676.004166666668,37.0
2014-02-20,11690.483333333334,41.5
2014-02-21,11830.6,31.5
2014-02-22,11286.625,28.0
2014-02-23,10994.916666666666,21.5
2014-02-24,12383.1125,18.5
2014-02-25,12725.529166666667,14.0
2014-02-26,13394.625,9.5
2014-02-27,13432.729166666666,11.0
2014-02-28,13438.170833333334,16.5
2014-03-01,11806.675,21.0
2014-03-02,11515.975,7.5
2014-03-03,12950.291666666666,8.5
2014-03-04,13080.3625,19.5
2014-03-05,12680.079166666666,21.0
2014-03-06,12547.095833333333,24.5
2014-03-07,12132.908333333333,30.0
2014-03-08,10993.833333333334,29.5
2014-03-09,10668.770833333334,30.5
2014-03-10,10963.1125,46.5
2014-03-11,11167.745833333332,42.0
2014-03-12,11770.1625,24.0
2014-03-13,12299.1625,25.0
2014-03-14,11627.929166666669,45.0
2014-03-15,10370.620833333332,33.5
2014-03-16,10384.4625,23.0
2014-03-17,11826.108333333334,30.0
2014-03-18,11492.875,39.5
2014-03-19,11157.929166666669,40.0
2014-03-20,11180.970833333333,38.5
2014-03-21,10849.854166666666,44.0
2014-03-22,10060.820833333331,33.5
2014-03-23,10163.325,25.5
2014-03-24,11546.058333333332,28.0
2014-03-25,11892.466666666667,25.5
2014-03-26,12031.4625,27.0
2014-03-27,11504.695833333331,44.5
2014-03-28,10995.108333333334,44.5
2014-03-29,10255.841666666667,34.5
2014-03-30,9612.616666666669,41.0
2014-03-31,10340.0375,54.5
2014-04-01,10693.516666666666,44.5
2014-04-02,10910.3875,39.5
2014-04-03,11180.445833333331,39.0
2014-04-04,11095.370833333332,41.0
2014-04-05,10160.970833333333,41.0
2014-04-06,9223.308333333332,44.0
2014-04-07,10318.5,45.0
2014-04-08,10593.525,50.0
2014-04-09,10635.654166666667,47.5
2014-04-10,10470.533333333333,53.5
2014-04-11,10397.6375,53.5
2014-04-12,9445.183333333332,62.0
2014-04-13,8979.566666666668,55.5
2014-04-14,10175.783333333333,46.5
2014-04-15,11099.529166666667,32.0
2014-04-16,11036.333333333334,39.0
2014-04-17,10612.808333333332,51.0
2014-04-18,10024.775,44.5
2014-04-19,9276.820833333331,51.5
2014-04-20,8450.2125,60.0
2014-04-21,9887.508333333331,66.0
2014-04-22,10236.5875,48.5
2014-04-23,10466.570833333331,42.0
2014-04-24,10390.55,51.5
2014-04-25,10231.316666666668,57.5
2014-04-26,9259.291666666666,48.5
2014-04-27,8797.6875,51.0
2014-04-28,9999.85,50.0
2014-04-29,10281.208333333334,53.0
2014-04-30,10276.183333333332,48.0
2014-05-01,10385.641666666666,45.5
2014-05-02,10268.0625,49.5
2014-05-03,9258.983333333334,56.5
2014-05-04,8614.508333333333,51.0
2014-05-05,9907.545833333334,49.0
2014-05-06,10217.016666666666,52.0
2014-05-07,10479.245833333332,63.0
2014-05-08,11116.170833333334,70.0
2014-05-09,11345.870833333332,63.5
2014-05-10,9607.025,62.0
2014-05-11,9092.420833333334,66.5
2014-05-12,11557.233333333334,74.0
2014-05-13,11487.833333333334,59.5
2014-05-14,10237.55,50.0
2014-05-15,10187.679166666669,47.5
2014-05-16,10229.679166666669,41.5
2014-05-17,9238.295833333334,49.5
2014-05-18,8528.266666666666,58.0
2014-05-19,9795.520833333334,57.0
2014-05-20,10742.420833333334,73.5
2014-05-21,12127.870833333332,74.5
2014-05-22,11377.829166666666,61.5
2014-05-23,10578.983333333334,63.0
2014-05-24,9352.154166666667,60.5
2014-05-25,8871.35,66.5
2014-05-26,9900.15,74.0
2014-05-27,12202.95,71.5
2014-05-28,11476.7625,64.5
2014-05-29,10987.283333333333,66.0
2014-05-30,10983.5375,65.0
2014-06-01,11110.108333333334,76.5
2014-06-02,13133.395833333334,75.5
2014-06-03,13115.529166666667,73.5
2014-06-04,11540.05,62.5
2014-06-05,10829.575,64.0
2014-06-06,11174.9625,65.0
2014-06-07,11019.704166666666,70.5
2014-06-08,9785.175,63.0
2014-06-09,10517.091666666667,66.5
2014-06-10,10708.295833333334,61.0
2014-06-11,10634.854166666666,62.0
2014-06-12,11088.541666666666,68.5
2014-06-13,10870.0125,65.0
2014-06-14,9888.45,77.5
2014-06-15,10016.079166666666,63.5
2014-06-16,13307.133333333331,77.0
2014-06-17,15453.220833333333,84.0
2014-06-18,15773.4125,71.5
2014-06-19,13839.3,69.0
2014-06-20,13527.0375,74.0
2014-06-21,12118.35,72.0
2014-06-22,11391.383333333331,72.5
2014-06-23,13034.0625,73.5
2014-06-24,13940.975,78.5
2014-06-25,13033.691666666668,69.5
2014-06-26,11877.758333333331,68.5
2014-06-27,12612.770833333334,73.5
2014-06-28,13359.241666666669,79.0
2014-06-29,13172.554166666669,77.0
2014-07-01,14627.1375,73.5
2014-07-02,12197.795833333334,63.0
2014-07-03,11111.9125,66.0
2014-07-04,10029.145833333334,68.5
2014-07-05,10060.675,68.5
2014-07-06,10530.916666666666,75.0
2014-07-07,14338.279166666667,78.5
2014-07-08,14277.879166666668,81.5
2014-07-09,13066.383333333331,85.0
2014-07-10,12242.7375,85.0
2014-07-11,12231.708333333334,84.5
2014-07-12,11904.6625,83.5
2014-07-13,12215.020833333334,85.0
2014-07-14,12673.35,83.5
2014-07-15,11243.908333333333,84.0
2014-07-16,10853.808333333332,84.0
2014-07-17,11093.633333333331,83.0
2014-07-18,11652.041666666666,82.0
2014-07-19,11188.320833333331,83.5
2014-07-20,10966.1125,85.0
2014-07-21,13473.070833333331,84.0
2014-07-22,15119.579166666666,82.5
2014-07-23,13692.329166666666,84.0
2014-07-24,11740.5625,84.5
2014-07-25,11434.283333333333,84.5
2014-07-26,11801.608333333334,83.0
2014-07-27,12146.820833333331,81.5
2014-07-28,11580.379166666668,80.5
2014-07-29,11514.3375,81.5
2014-08-01,12712.295833333334,73.5
2014-08-02,11737.479166666666,72.5
2014-08-03,11390.9,74.5
2014-08-04,13255.0875,77.0
2014-08-05,13051.016666666666,72.0
2014-08-06,12279.533333333333,71.0
2014-08-07,12256.508333333331,75.0
2014-08-08,12573.904166666667,76.5
2014-08-09,11793.808333333332,77.0
2014-08-10,11295.3,76.5
2014-08-11,12886.066666666668,77.0
2014-08-12,12064.458333333334,77.5
2014-08-13,11589.166666666666,77.5
2014-08-14,11616.754166666668,79.0
2014-08-15,11311.4375,80.0
2014-08-16,11081.945833333331,79.5
2014-08-17,10567.5,79.5
2014-08-18,12368.1,80.5
2014-08-19,13601.479166666666,80.5
2014-08-20,14176.2,82.5
2014-08-21,14775.675,82.0
2014-08-22,15366.504166666668,80.0
2014-08-23,13953.716666666667,80.0
2014-08-24,12853.05,80.5
2014-08-25,15629.8875,81.0
2014-08-26,15280.295833333334,81.5
2014-08-27,13470.029166666667,81.0
2014-08-28,12561.475,80.5
2014-08-29,13608.304166666669,79.5
2014-09-01,12643.366666666669,76.5
2014-09-02,13449.595833333333,74.5
2014-09-03,13586.308333333332,72.0
2014-09-04,14583.058333333332,78.0
2014-09-05,15116.133333333331,76.0
2014-09-06,11225.091666666667,67.5
2014-09-07,9931.0,73.5
2014-09-08,11307.270833333334,73.0
2014-09-09,12026.1875,75.5
2014-09-10,12662.629166666668,77.0
2014-09-11,11025.608333333334,76.0
2014-09-12,10367.029166666667,74.5
2014-09-13,9374.2,74.5
2014-09-14,8721.041666666666,71.5
2014-09-15,9992.833333333334,72.5
2014-09-16,10277.566666666668,70.0
2014-09-17,10373.454166666666,68.0
2014-09-18,10382.8625,68.5
2014-09-19,10529.1125,70.0
2014-09-20,10173.341666666667,68.0
2014-09-21,9402.708333333334,67.5
2014-09-22,10021.041666666666,67.0
2014-09-23,10355.241666666669,66.0
2014-09-24,10518.016666666666,68.5
2014-09-25,10619.883333333331,69.5
2014-09-26,10830.545833333334,70.5
2014-09-27,10019.733333333334,71.0
2014-09-28,9543.691666666668,71.5
2014-09-29,11015.633333333331,72.0
2014-10-01,10324.25,59.5
2014-10-02,10726.9375,67.5
2014-10-03,10718.429166666669,54.0
2014-10-04,9484.783333333333,41.0
2014-10-05,8806.5,46.0
2014-10-06,9996.8375,51.5
2014-10-07,10310.504166666668,49.0
2014-10-08,10243.379166666668,56.0
2014-10-09,10158.9875,59.0
2014-10-10,10135.645833333334,62.0
2014-10-11,9261.975,62.0
2014-10-12,8650.604166666666,63.0
2014-10-13,10012.483333333334,63.5
2014-10-14,10590.258333333331,64.5
2014-10-15,10378.225,63.5
2014-10-16,10387.333333333334,60.0
2014-10-17,10234.558333333332,58.0
2014-10-18,9385.095833333333,55.0
2014-10-19,8884.820833333333,53.5
2014-10-20,10011.8375,54.0
2014-10-21,10319.941666666668,52.5
2014-10-22,10408.0375,55.5
2014-10-23,10474.254166666668,57.0
2014-10-24,10288.695833333331,58.5
2014-10-25,9383.008333333331,61.0
2014-10-26,8654.404166666667,63.5
2014-10-27,10307.5375,64.5
2014-10-28,10560.295833333334,64.5
2014-10-29,10461.266666666666,65.5
2014-11-01,10030.1125,36.0
2014-11-02,9314.583333333334,38.0
2014-11-03,10365.045833333334,52.5
2014-11-04,10633.7625,52.0
2014-11-05,10637.004166666668,47.0
2014-11-06,10666.683333333332,44.5
2014-11-07,10877.6375,43.0
2014-11-08,10198.566666666668,42.5
2014-11-09,9462.091666666667,47.5
2014-11-10,10421.583333333334,49.0
2014-11-11,10765.745833333332,49.5
2014-11-12,11501.058333333332,47.0
2014-11-13,11865.795833333334,46.5
2014-11-14,11820.175,48.5
2014-11-15,11062.608333333334,49.5
2014-11-16,10402.808333333332,50.5
2014-11-17,11740.3125,53.0
2014-11-18,12689.125,52.5
2014-11-19,12540.4375,52.0
2014-11-20,12430.758333333331,49.0
2014-11-21,12448.7,50.5
2014-11-22,11132.366666666669,51.5
2014-11-23,9759.4125,49.0
2014-11-24,10837.595833333333,51.0
2014-11-25,11913.908333333333,52.5
2014-11-26,12294.658333333333,50.0
2014-11-27,11173.0625,50.0
2014-11-28,10877.441666666668,46.5
2014-11-29,10400.183333333332,44.5
2014-12-01,11799.883333333331,21.5
2014-12-02,12407.945833333331,26.0
2014-12-03,12126.983333333334,30.5
2014-12-04,12316.491666666669,29.0
2014-12-05,11805.995833333332,36.0
2014-12-06,10903.904166666667,33.0
2014-12-07,10508.3625,29.5
2014-12-08,11735.375,29.0
2014-12-09,11938.7875,25.0
2014-12-10,12096.925,26.5
2014-12-11,12121.375,24.0
2014-12-12,12114.370833333332,28.5
2014-12-13,10982.320833333331,30.0
2014-12-14,9909.7375,31.5
2014-12-15,10898.2125,35.0
